"City","geom","Incoming","Outgoing","Risk"
"Winger","0101000020E61000004807568E1AFF57C0F2A81687A6C44740",0,0,0.0003703079547516626
"Echo","0101000020E61000000FFB75007BDA57C0DE3393410D4F4640",1,6,0.0009394904665701716
"Round Lake","0101000020E6100000767F4D4D13DE57C09400EAE8C6C44540",0,0,0.0002868252455888252
"Perham","0101000020E6100000B85792C2F0E457C0285886BACF4C4740",0,0,0.0003699050047690462
"Warba","0101000020E6100000AAB4784E035157C0A60FA32781914740",0,0,0.00018956259326475213
"Medford","0101000020E6100000E59A8652D24F57C0224FD5A493154640",2,0,0.0009838100538893501
"Cokato","0101000020E61000003A869620068C57C0111E7EE0E3894640",13,9,0.0009382893596806662
"Westbrook","0101000020E610000092765B82FDDB57C00AE3783957054640",2,0,0.0006519828063216474
"Faribault","0101000020E61000004476DF91D95157C0FEAE9F2258264640",6,6,0.0011495429788714931
"Preston","0101000020E61000008A9191CD540557C04024C94017D64540",3,3,0.000641250523851345
"Calumet","0101000020E610000096351A880F5157C0403246B9E7A84740",0,0,0.000262878331718681
"Brook Park","0101000020E61000003920C839A94457C05DE43D1766F94640",1,0,0.00046475173760491525
"Foxhome","0101000020E61000001ECB077AFC1358C0E4B580DB70234740",0,0,0.00040866585697553747
"Fairmont","0101000020E6100000876519EE909D57C0B8C731976FD24540",0,0,0.0006644438172915303
"Hollandale","0101000020E61000008C3EEF71154D57C0F829FFA343E14540",4,3,0.0007609333948224994
"Brooks","0101000020E61000004AA70CF3390058C0F9A08B7583E84740",0,0,0.0002853680981706675
"Burtrum","0101000020E6100000ED2906A5FDAB57C0CC46AF2CD3EE4640",1,1,0.0006826575125804143
"Meire Grove","0101000020E61000009B038FE9A2B757C0A678F45F26D04640",3,1,0.0007252030056865706
"Hugo","0101000020E610000056A6D8C35B3D57C05C359F3C62954640",29,33,0.002345968038922233
"Foreston","0101000020E6100000E50DF265696D57C0D3D17762B4DD4640",0,0,0.0006381254007514959
"Fountain","0101000020E610000052F11B38970857C0D232C2B00BDF4540",1,4,0.0005667627497576077
"Vermillion","0101000020E6100000DD313722B73D57C0548F3DD636564640",13,13,0.0016656344800928785
"West Concord","0101000020E6100000786DF12E913957C0A2381B4A92134640",4,4,0.0006628609518768096
"Lake Henry","0101000020E61000001CF1145EF8B257C097E1FBF51EBB4640",0,0,0.0007241707877058668
"East Bethel","0101000020E6100000E6DCC7560B4D57C075421ABB85AD4640",12,20,0.0017191704524839274
"Buhl","0101000020E610000093EEEC033A3157C039529FFBEBBF4740",0,0,0.00018596433405887518
"Proctor","0101000020E6100000D94A03C7990E57C02C6DE181D45E4740",0,0,0.0002132427122204832
"Hayward","0101000020E61000005D360FFBBD4F57C02DD595F62DD34540",4,4,0.0006285399760995165
"Wabasha","0101000020E6100000E7C8CA04B00257C0EBB27899712F4640",4,5,0.0006300487218020882
"Pine Springs","0101000020E6100000C8055A95133D57C06004C2C8B6844640",38,22,0.003588229052987891
"Nashua","0101000020E61000005774ADD1951358C0BF5F6EDFD2044740",1,1,0.0004964249323085836
"Ogilvie","0101000020E61000000CFF7AAD055B57C0584125551DEA4640",0,0,0.0005021840408260659
"Milroy","0101000020E61000000BEA857C6DE357C00CB7B9A279354640",5,1,0.0009420312573143965
"Caledonia","0101000020E6100000ADC5C5700FE056C0ED19A7E634D14540",3,1,0.00039689617026536506
"Cyrus","0101000020E6100000BF6D6EC13EEF57C085D48D54B1CE4640",1,0,0.000590401559776694
"Prinsburg","0101000020E6100000CD45E5DBF7CB57C0E9EEB048AB774640",4,5,0.0007748582395040795
"Roosevelt","0101000020E61000001EAB48A67EC657C0EA141CF951674840",0,0,0.00011032492752867081
"Roosevelt","0101000020E6100000AE7087FEA7C557C010AC0C882A664840",0,0,0.00011032492752867081
"Humboldt","0101000020E6100000C001F72A0E4658C023CF553AF4754840",0,0,0.00014746295667671704
"Lonsdale","0101000020E6100000B256D240085B57C0B3B3D511263D4640",9,7,0.0010684278886951275
"Dexter","0101000020E61000003EAEACC5E22C57C0D66AE6A521DC4540",6,7,0.0005511528206095834
"Canton","0101000020E61000005280E98383FB56C09778DAB5CEC34540",1,0,0.0003489084695013031
"Evansville","0101000020E6100000D68D1F4CF4EB57C06E07543CCC004740",0,0,0.0005154220461394954
"Rice Lake","0101000020E61000008CC114D25C0757C0EFD7B24FCE724740",0,0,0.00014511773259897362
"Foley","0101000020E61000007893A7B6337A57C0F2E6EE83F0D44640",2,1,0.0006546438784354655
"Lester Prairie","0101000020E6100000BE63AB1E588257C0F5C596F110714640",9,16,0.001306275222438422
"Burnsville","0101000020E61000000728769EE35157C068214CBEE6614640",37,34,0.0037769533545574025
"Excelsior","0101000020E6100000B586DA40426457C01D0483475D734640",44,46,0.004380502935681669
"Hitterdal","0101000020E6100000E18638BA891058C04C5ACB63267D4740",0,0,0.0002915291596559272
"Pine River","0101000020E61000000CAAB73A719957C0E68B105D785C4740",0,0,0.0004035784838870317
"Madelia","0101000020E610000005591938E49A57C024CD4D7827064640",4,5,0.0009639964605962965
"Springfield","0101000020E610000076BD8887D7BE57C05B145D6B5E1E4640",7,7,0.0009950016301427042
"Hanska","0101000020E6100000C516EC3CA59F57C0BADED24A0C134640",6,5,0.0009880900033111236
"Greenwald","0101000020E610000052D51E78FFB657C0EF339A35FBCC4640",1,2,0.0007467882545876715
"Saint Francis","0101000020E61000003D8A7F23055957C023DE94CD0DB34640",22,31,0.0026714086192983085
"Saint Francis","0101000020E6100000C25745982B5457C05A6BE9B35EB54640",22,31,0.0026714086192983085
"Elbow Lake","0101000020E6100000FE6F4F2D9CFE57C0FBD4BE42B3FE4640",2,0,0.000538308434404007
"Riverton","0101000020E61000005612A538218357C0624C18B6AC3A4740",0,0,0.0004717660564351668
"Robbinsdale","0101000020E6100000840B58E3525557C0EF4A695056834640",44,51,0.006253582863825582
"Le Center","0101000020E61000002F33793ACA6E57C00DB7958E7B314640",8,11,0.00112329922384514
"Gilman","0101000020E6100000A8136A2FB47C57C089B0F90020DE4640",4,0,0.0005731693471449783
"Barry","0101000020E610000031A6161ADB2358C04BEEAAB475C74640",0,0,0.000375714238451279
"Woodstock","0101000020E6100000BED99FEC300658C0D404332468014640",0,0,0.00035403361339168544
"Stockton","0101000020E6100000DECB855641F156C0637C06B578034640",4,14,0.0008105277566878558
"Miesville","0101000020E61000009BDFC399743457C0FACF86ADAB4C4640",5,11,0.0008830776163237862
"Brooklyn Center","0101000020E61000000C33ACDF3B5457C099DD42AAB7884640",52,61,0.006512378777757949
"Geneva","0101000020E6100000F823D2492B5157C0F8FA8B1251E94540",1,2,0.0008321997996880129
"Annandale","0101000020E6100000ABA7C8D3BC8757C00315AD203EA14640",13,7,0.0007947507166175037
"Okabena","0101000020E6100000137DCA6F66D457C0B5347F65A1DE4540",1,0,0.0005116643998630231
"Battle Lake","0101000020E61000004809D62506EE57C0A001FD6369244740",0,0,0.0004190410574838513
"Chanhassen","0101000020E6100000497AFC59026157C06017532E5E6E4640",71,77,0.006598955655178895
"Chanhassen","0101000020E610000022B2D835016457C0B04085BA5F6D4640",71,77,0.006598955655178895
"Lewisville","0101000020E6100000C43AB65ECB9B57C0D96A559048F64540",5,6,0.0008819100845171546
"Shoreview","0101000020E610000065D07E60B04857C0B3722485C78A4640",38,54,0.005078296947082459
"Orono","0101000020E610000095AA7E25D06557C0EEC0DB1C727B4640",36,30,0.00375384123596318
"Saint Bonifacius","0101000020E61000005980A4A8D76F57C093F9DDB3E4734640",21,28,0.002231126302704429
"Kandiyohi","0101000020E6100000D8D55503B4BB57C090BB6D48D5904640",10,5,0.000801098051509741
"Franklin","0101000020E61000008258796995B857C0D5263D3EEB434640",2,9,0.0008949739289925446
"Eden Valley","0101000020E6100000DD014364E1A257C0C55F7F754FAA4640",8,14,0.0016153565006482077
"Eden Valley","0101000020E610000050DCB38CF4A257C0D68269D612A94640",8,14,0.0016153565006482077
"Sherburn","0101000020E61000005717B3348EAE57C05CDDB64BD2D34540",2,1,0.0006233253682500087
"Pequot Lakes","0101000020E6100000A73D527B189357C0118C07E1344B4740",0,0,0.00044846633583103937
"Lakeville","0101000020E61000004933A50C1B5057C040513B379D564640",24,23,0.0026533989756176287
"Plato","0101000020E6100000FCF46DBB888257C0BF6DCAD5DF624640",6,11,0.0011675167096384623
"Byron","0101000020E6100000EE8C69A5052957C0FA1EA7ACE2044640",6,7,0.0008188697255553629
"Mazeppa","0101000020E6100000DE24353A922257C00C617C8C07234640",9,6,0.0009884098999621582
"Kasson","0101000020E6100000638C25D2E52F57C076B63DD656044640",5,15,0.0008355886348132646
"Savage","0101000020E6100000D05961613E5757C02E5E20B293604640",30,34,0.003137829896683635
"Royalton","0101000020E610000097625201B79257C0B5C2C13E8BEA4640",7,8,0.0015130555695994999
"Royalton","0101000020E6100000951E001EF19257C0EB9DEC95E5E84640",7,8,0.0015130555695994999
"Prior Lake","0101000020E6100000939476B4315C57C036A3223DE15C4640",18,19,0.00254095569034288
"Hawley","0101000020E6100000EF3F2D39571458C03FF77E7041704740",0,0,0.00033417984172170166
"Saint Paul Park","0101000020E610000080E0251FAD3F57C0591F6F48026B4640",28,29,0.0030197890310502307
"Saint Michael","0101000020E6100000931D486A4A6C57C06094C398C7994640",35,24,0.0023491622809531463
"Credit River","0101000020E6100000EDB0E853F65657C04372993242564640",16,29,0.0018304434498238348
"Glencoe","0101000020E610000085EF0802A78957C067B45F048F624640",4,12,0.001021096511935979
"Bigelow","0101000020E6100000C3DD65ED22EC57C0789B3926A6C04540",0,0,0.00023603740329369263
"Warroad","0101000020E610000039EF257F01D557C0AA8EEAF23C754840",0,0,7.043458315271425e-05
"New Prague","0101000020E6100000FA91105A906457C09D28FABDD8444640",20,23,0.002325898059457992
"New Prague","0101000020E6100000D5843DFA086557C0F30631EA94464640",20,23,0.002325898059457992
"Wilton","0101000020E61000001174610AF2BF57C0DE1D2F33F8C04740",0,0,0.00019900279314297517
